ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.1272548667590681,0.042734363118227654
PT023480600,PT023480600,0.14955886293708742,0.05334051312720661
PT023802667,PT023802667,0.14912390836136608,0.0803070337398525
PT023805915,PT023805915,0.1358362735187701,0.07207448375817509
PT023974753,PT023974753,0.1441163166362046,0.039184186683684764
PT024513869,PT024513869,0.14186258390273024,0.04579851442340104
PT123621789,PT123621789,0.17778405868540492,0.021606663435293997
PT123769875,PT123769875,0.1271638241930256,0.04647850480971633
PT123799896,PT123799896,0.11806300400915933,0.07129071579701067
PT124148445,PT124148445,0.13398738142170274,0.026108608341337297
PT124515292,PT124515292,0.09959049031192557,0.05635740036802803
PT133012645,PT133012645,0.12550044574786023,0.07131787773969005
PT223476701,PT223476701,0.1579371472345326,0.027387783002533927
PT223767729,PT223767729,0.14650447700192037,0.042713926829682704
PT223802666,PT223802666,0.1413713885143761,0.06934199140611443
PT224513004,PT224513004,0.11360700007050863,0.06146627494598325
PT224957247,PT224957247,0.14337233930533963,0.08421522678573902
PT323474933,PT323474933,0.1268444795404786,0.09712960461478143
PT324096615,PT324096615,0.11153717653837812,0.05806457928156153
PT423396430,PT423396430,0.1464750796337325,0.034724857243394955
PT423620929,PT423620929,0.13371812028946978,0.07802240763867994
PT423621858,PT423621858,0.1104929285330232,0.05308497195833012
PT424513003,PT424513003,0.10087649021205149,0.0737176008241434
PT424986494,PT424986494,0.11553975375996312,0.027395516137826818
PT523085848,PT523085848,0.1384571647455788,0.05651007177174974
PT523583719,PT523583719,0.17630384852998748,0.03201740439229509
PT523769910,PT523769910,0.097858051034752,0.08645610777417542
PT523799875,PT523799875,0.11850906725708366,0.06498553767604204
PT524015264,PT524015264,0.11193092328997035,0.06261621990944287
PT524148448,PT524148448,0.1308279548164142,0.05613945156137071
PT524914685,PT524914685,0.1314288870081688,0.03772912996619197
PT524987172,PT524987172,0.19695351638185243,0.02469976876356003
PT623583704,PT623583704,0.15949878132841566,0.04291894302067755
PT623806020,PT623806020,0.11553583408516048,0.06723610100278231
PT623806044,PT623806044,0.11016987264789088,0.08642151692972848
PT624096609,PT624096609,0.10837672643876048,0.10093132282228616
PT624513002,PT624513002,0.1202833320919917,0.06526575991612436
PT624987181,PT624987181,0.11575701065357988,0.06465817468059527
PT633012794,PT633012794,0.20154443363662114,0.027639533569297818
PT633027441,PT633027441,0.12311133595664779,0.07140629728351963
PT723474950,PT723474950,0.16392898034231676,0.031133026490055324
PT723658015,PT723658015,0.14726780199674383,0.03926525459608895
PT723767731,PT723767731,0.1341563324252093,0.04967373891242439
PT723805945,PT723805945,0.18709049493911858,0.05823975343587923
PT724513856,PT724513856,0.09964937620237599,0.06954920526311979
PT733027431,PT733027431,0.11361796466744463,0.06622959408368113
PT823583722,PT823583722,0.10374923681224553,0.08703627330025493
PT824914674,PT824914674,0.0992179477983929,0.06281005060960175
PT923583699,PT923583699,0.1523886521373751,0.0587120968974556
PT923712082,PT923712082,0.13434621126033383,0.042006273086740216
PT923966027,PT923966027,0.13041763037749662,0.01572236964639847
PT924854279,PT924854279,0.1110531910671994,0.09510412426356255
